folder,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time,output
svt_laplace_max,0.5,0,example_1,2,2,2,2,2,2,2,2,1,1,1,1.6168639659881592,"{ ""DP"": 1}"
svt_laplace_max,0.5,0,example_2,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,22.03794026374817,"{ ""DP"": 1}"
svt_laplace_max,0.5,0,example_3,3,2.5,2,4,3.25,2,4,4,3,2.25,1,203.14959907531738,"{ ""DP"": 1}"
svt_laplace_max,0.5,0,example_4,3,2.6,2,5,3.8,2,5,5,4,2.8,1,1294.284611940384,"{ ""DP"": 1}"
noisy_max_laplace,0.5,0,example_3,3,2.5,2,3,3,3,4,3,2,2,2,151.1914849281311,"{ ""DP"": 1}"
noisy_max_laplace,1,0,example_3,3,2.5,2,3,3,3,4,3,2,2,2,163.37058305740356,"{ ""DP"": 1}"
noisy_min_laplace,0.5,0,example_3,3,2.5,2,3,3,3,4,3,2,2,2,163.20619797706604,"{ ""DP"": 1}"
noisy_min_laplace,1,0,example_3,3,2.5,2,3,3,3,4,3,2,2,2,174.4533281326294,"{ ""DP"": 1}"
dipc,1,0,svt_4,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,41.522226095199585,"{ ""DP"": -1}"
dipc,0.5,0,svt_5,2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,1.4863169193267822,"{ ""DP"": -1}"
dipc,1,0,svt_6,3,2.75,2,4,4,4,8,8,3,3,3,89.93629813194275,"{ ""DP"": -1}"
