type,input_size,number_of_paths,avg_conditions,avg_depth,output_single,time_single,output_all,time_all
\BelowThreshold,2,3,1.7,2.3,$\checkmark$,1.5,$\checkmark$,1.7
\BelowThreshold,5,6,3.3,2.7,$\checkmark$,6.1,$\checkmark$,75.8
\BelowThreshold,25,26,13.5,2.9,$\checkmark$,434.1,$\na$,$\timeout$
\NonPrivBelowThresholdOne,5,6,3.3,1.7,$\times$,1.4,$\times$,1.9
\NonPrivBelowThresholdOne,6,7,3.9,1.7,$\times$,1.3,$\times$,1.7
\NonPrivBelowThresholdTwo,3,4,2.2,1.5,$\times$,1.3,$\times$,1.3
\NonPrivBelowThresholdTwo,6,7,3.9,1.7,$\times$,1.3,$\times$,1.3
\MixOneBelowThreshold,2,3,1.7,2.3,$\checkmark$,2.9,$\checkmark$,4.3
\MixOneBelowThreshold,5,6,3.3,2.7,$\checkmark$,17.2,$\checkmark$,259.2
\MixOneBelowThreshold,17,18,9.4,2.9,$\checkmark$,348.4,$\na$,$\timeout$
\NoisyMaxGauss,2,2,1.0,2.0,$\checkmark$,1.3,$\checkmark$,1.5
\NoisyMaxGauss,3,4,2.0,2.5,$\checkmark$,1.8,$\checkmark$,3.8
\NoisyMaxGauss,4,8,3.0,3.0,$\checkmark$,40.1,$\na$,$\timeout$
\NoisyMinGauss,2,2,1.0,2.0,$\checkmark$,1.3,$\checkmark$,1.3
\NoisyMinGauss,3,4,2.0,2.5,$\checkmark$,1.8,$\checkmark$,3.4
\NoisyMinGauss,4,8,3.0,3.0,$\checkmark$,35.8,$\na$,$\timeout$
\mRange,1,7,3.0,2.5,$\checkmark$,1.8,$\checkmark$,1.8
\mRange,2,13,4.2,3.2,$\checkmark$,169.1,$\checkmark$,351.8
\mRange,3,19,5.2,3.8,$\na$,$\timeout$,$\na$,$\timeout$
\kminmax,3,16,4.0,3.0,$\checkmark$,2.6,$\checkmark$,5.8
\kminmax,4,28,5.1,3.4,$\checkmark$,41.4,$\checkmark$,318.1
